email,fixme,operator,operator:type,addr:place,operator:short,emergency,@geometry,payment:cash,@id,addr:city,building,website,internet_access,contact:facebook,building:levels,addr:state,addr:postcode,landuse,addr:housenumber,addr:full,name:ur,mobile,description,wheelchair,healthcare:speciality,type,barrier,check_date,name,name:hi,name:en,payment:debit_cards,source,name:ar,payment:credit_cards,healthcare,addr:district,amenity,operator:wikidata,branch,contact:phone,phone,addr:street,latitude,longitude
,,,,,,,center,,relation/5622389,,yes,,,,,,,,,,,,,yes,,multipolygon,,,Rockland Hospital,,,,,,,,,hospital,,,,,,28.3667558,76.9328488
,,,,,,,center,,way/38106806,,yes,https://www.neelkanthhospital.com/,,,,Haryana,122022,commercial,,"1, Nathupur Road, Ph-Iii, Dlf City",,,,,,,,,Neelkanth Hospital Pvt. Ltd,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.483357,77.107626
,,,,,,,center,,way/59339757,,,,,,,Haryana,122001,,,New Railway Road,,,,,,,,,Sheetla Hospital And Eye Institute Private Ltd,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4680581,77.0255218
,,,,,,,center,,way/127245642,,,,,,,Haryana,122008,,,"Cyber City, Dlf Ph 2, Dlf City Phase Ii",,,,,,,,,World Laparoscopy Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4945604,77.0916752
,,,private,,,yes,center,,way/189108366,Gurgaon,,https://www.columbiaasia.com/,,,,Haryana,122017,,Sector 23A,"Block F, Gol Chakkar, Near Ansals Plaza, Palam Vihar, Gurgaon, Delhi - NCR",,,,,multi speciality,,wall,,Columbia Asia Hospital,,,,OpenGovernmentData,,,,,hospital,,,,,Carterpuri Village,28.5091843,77.0413917
,,,,,,,center,,way/190045089,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.456161,76.9966194
,,,,,,,center,,way/225192154,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.475062,77.0643217
,,,,,,,,,node/249132373,,,,,,,Haryana,122002,,,"C-1, Sushant Lok Phase-1",,,,,,,,2025-02-23,"Paras Hospital, Gurgaon",Paras Hospital зубной,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4509257,77.0876091
,Hospital name missing,,,,,,center,,way/266509357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,28.4737018,77.0794538
,,,,,,,center,,way/266510300,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.4684934,77.0844412
,,,,,,,,,node/266535263,,,,,,,,,,,,,,,,,,,2025-02-23,Max Hospital,,,,,,,hospital,,hospital,,,,,,28.462841,77.0759312
,,,,,,,center,,way/266639963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,28.4501499,77.0822225
feedback@mayomhospital.com,,,private,,,,center,,way/269803710,,,https://www.mayomhospital.com/,,,,Haryana,122002,,,"D-Block , South City -1",,,,,multi speciality,,wall,2025-02-23,Mayom Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,1244212500,,,28.4579775,77.0636217
,,,,,,,center,,way/269829619,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,hospital,,,,,,28.41466,77.054382
,,,,,,,center,,way/269904109,,,,,,,,,,,,,,,,,,wall,,Sanar International Hospital,,Sanar International Hospital,,,,,hospital,,hospital,,,,,,28.439411,77.1020584
,,,,,,,center,,way/272846920,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,hospital,,,,,,28.4268249,77.1103488
,,,private,,,yes,center,yes,way/308510856,,,https://www.maxhealthcare.in/index.php/hospital-network/max-hospital-Gurgaon,no,,,Haryana,122001,,,"B - Block, Sushant Lok - I, Gurgaon",,,,yes,Aesthetic And Reconstructive Surgery; Dental Care; Eye Care; Neurology; Internal Medicine; Medical and Surgical; Gastroenterology; Endocrinology and Endocrine Surgery; IVF,,,2024-05-21,Max Hospital,,Max Hospital,yes,OpenGovernmentData,,yes,hospital,Gurgaon,hospital,,,,,,28.4613357,77.0747048
info@artemishealthsciences.com,,,private,,,,center,,way/343528163,,,https://www.artemishospitals.com/,,,,Haryana,122001,commercial,,"J - Block, Mayfield Gardens, Sector-51, Near Cyber Park, Gurgaon",,,,,multi speciality,,,,Artemis Health Institute,,,,OpenGovernmentData,معهد أرتيميس الصحي,,hospital,Gurgaon,hospital,,,,,,28.4311541,77.0721527
