surface,access,smoking,leisure,tourism,fixme,operator,operator:type,dog,@geometry,@id,addr:city,website,addr:village,noname,addr:postcode,highway,landuse,addr:housenumber,description,type,barrier,name:etymology:wikidata,check_date,name,name:en,grassland,brand,opening_hours:covid19,addr:district,amenity,created_by,addr:street,brand:wikidata,opening_hours,latitude,longitude
,,,park,,,,,,center,relation/3628207,,,,,,,,,,boundary,,,,,,,,,,,,,,,28.3649629,76.9579067
,,,park,,,,,,center,way/23505316,,,,,,,,,,,,,,,,,,,,,,,,,28.4944482,77.0985008
,,,park,attraction,,,,,center,way/24501701,,,,,,,,,,,wall,,,Leisure Valley Park,,,,,,,,,,,28.4691967,77.0660875
,,,park,,,,,,center,way/24530530,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9a,,,,28.4191093,77.0443208
,,,park,,,,,,center,way/24530533,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9a,,,,28.4194338,77.0436252
,,,park,,,,,,center,way/24530535,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9a,,,,28.4198292,77.0429486
,,,park,,,,,,center,way/24636425,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4556252,77.0523543
,,,park,,,,,,center,way/24636515,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4181434,77.0583095
,,,park,,,,,,center,way/24636531,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4161655,77.0443357
,,,park,,,,,,center,way/24636550,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4166261,77.0436582
,,,park,,,,,,center,way/24636553,,,,,,residential,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4171823,77.0532676
,,,park,,,,,,center,way/24636558,,,,,,,,,,,,,,,,,,,,,,,,,28.4168947,77.0522839
,,,park,,,,,,center,way/24636575,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4488297,77.0377639
,,,park,,,,,,center,way/24636576,,,,,,,,,,,,,,,,,,,,,,,,,28.4512284,77.0401675
,,,park,,,,,,center,way/24636578,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4553131,77.0439894
,,,park,,,,,,center,way/24636579,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4591943,77.0461635
,,,park,,,,,,center,way/24636597,,,,,,,,,,,,,,HUDA Garden,,,,,,,,,,,28.4747832,77.0532713
,,,park,,,,,,center,way/24636676,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4772716,77.0555801
,,,park,,,,,,center,way/24636700,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4747356,77.0549847
,,,park,,,,,,center,way/24636726,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4807361,77.0664736
,,,park,,,,,,center,way/24636733,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.479056,77.0686049
,,,park,,,,,,center,way/24636744,,,,,,,,,,,,,,,,,,,,,,,,,28.476234,77.0651655
,,,park,,,,,,center,way/24636745,,,,,,,,,,,,,,,,,,,,,,,,,28.4764922,77.0658735
,,,park,,,,,,center,way/24636783,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4770227,77.0475335
,,,park,,,,,,center,way/24636817,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4715042,77.0451619
,,,park,,,,,,center,way/24636830,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4748461,77.0470014
,,,park,,,,,,center,way/24672087,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4580051,77.0842619
,,,park,,,,,,center,way/24672091,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.455426,77.0860579
,,,park,,,,,,center,way/24672094,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,28.4560167,77.0761681
,,,park,,Footpath and entrance to map,,,,center,way/24672095,,,,,,,,,,,,,,,,,,,,,,,,,28.4621628,77.075417
,,,park,,,,,,center,way/25657420,,,,,,,,,,,,,,,,,,,,,,,,,28.4193247,77.0555752
,,,park,,,,,,center,way/28845738,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4189867,77.0538574
,,,park,,,,,,center,way/34940769,,,,,,,,,,,,,,Sector 45 Community park,,,,,,,,,,,28.442319,77.067409
,,,park,,,,,,center,way/34940770,,,,,,,,,,,,,,,,,,,,,,,,,28.4415927,77.0682456
,,,park,,,,,,center,way/35463239,,,,,,,,,,,,Q1764533,,Tau Devi Lal Park,,,,,,,,,,,28.5021059,77.0568284
,,,park,,,,,,center,way/35538751,,,,,,,,,,,,,,,,,,,,,,,,,28.4547455,77.0321625
,,,park,,,,,,center,way/42917634,,,,,,,,,,,,,,,,,,,,,,,,,28.4934042,77.105937
,,,park,,,,,,center,way/42917636,,,,,,,,,,,,,,,,,,,,,,,,,28.4938187,77.1076843
,,,park,,,,,,center,way/45098399,,,,,,,,,,,,,,,,,,,,,,,,,28.4179532,77.0470275
,,,park,,,,,,center,way/45098400,,,,,,,,,,,,,,,,,,,,,,,,,28.4183393,77.045745
,,,park,,,,,,center,way/45252709,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4299539,77.0573011
,,,park,,,,,,center,way/45252710,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4313718,77.0554473
,,,park,,,,,,center,way/45300932,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4315685,77.0590404
,,,park,,,,,,center,way/45769060,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4325138,77.0565304
,,,park,,,RWA,private,,center,way/45769378,,,,,,,,,,,,,,Sector 46 Central Park,,,,,,,,Sec 46,,,28.4343974,77.0607294
,,,park,,,,,,center,way/45769386,,,,,,,grass,,,,,,,,,,,,,,,,,,28.4366758,77.0608989
,,,park,,,,,,center,way/61370308,,,,,,,,,,,,Q1764533,,Tau Devi Lal Bio-Diversity and Botonical Garden,,,,,,,,,,,28.4327439,77.0931117
,,,park,,,,,,center,way/144068823,,,,,,,,,,,,,,,,,,,,,,,,,28.4445881,77.0353389
,,,park,,,,,,center,way/154343505,,,,,,,,,,,,,,,,,,,,,,,,,28.439009,77.0673908
,,,park,,,,,,center,way/168928794,,,,,,,,,,,,,,,,,,,,,,,,,28.4237311,77.0774905
,,,park,,,,,,center,way/189047496,,,,,,,,,,,,,,,,,,,,,,,,,28.3727729,76.9204197
,,,park,,,,,,center,way/189047498,,,,,,,,,,,,,,,,,,,,,,,,,28.3716587,76.9186813
,,,park,,,,,,center,way/189047500,,,,,,,,,,,,,,,,,,,,,,,,,28.372896,76.9183912
,,,park,,,,,,center,way/189050374,,,,,,,,,,,wall,,,,,,,,,,,,,,28.3646661,76.9498442
,,,park,,,,,,center,way/189050375,,,,,,,,,,,wall,,,,,,,,,,,,,,28.3646722,76.9484607
,,,park,,,,,,center,way/189050376,,,,,,,,,,,wall,,,,,,,,,,,,,,28.3632112,76.9478039
,,,park,,,,,,center,way/189050377,,,,,,,,,,,wall,,,,,,,,,,,,,,28.3665633,76.9484865
,,,park,,,,,,center,way/189050378,,,,,,,,,,,wall,,,,,,,,,,,,,,28.3665363,76.9498602
,,,park,,,,,,center,way/189050379,,,,,,,,,,,wall,,,,,,,,,,,,,,28.3634445,76.9432937
,,,park,,,,,,center,way/189074966,,,,,,,,,,,,,,,,,,,,,,,,,28.4789009,77.0138602
,,,park,,,,,,center,way/189074970,,,,,,,,,,,,,,,,,,,,,,,,,28.471364,77.0083749
,,,park,,,,,,center,way/189074972,,,,,,,,,,,,,,,,,,,,,,,,,28.4755481,77.0067929
,,,park,,,,,,center,way/189074978,,,,,,,,,,,,,,,,,,,,,,,,,28.4719761,77.0056828
,,,park,,,,,,center,way/189074981,,,,,,,,,,,,,,,,,,,,,,,,,28.4724969,77.0124865
,,,park,,,,,,center,way/189074985,,,,,,,,,,,,,,,,,,,,,,,,,28.4771692,77.0064973
,,,park,,,,,,center,way/189075009,,,,,,,,,,,,,,,,,,,,,,,,,28.4778278,77.0097789
,,,park,,,,,,center,way/189075012,,,,,,,,,,,,,,,,,,,,,,,,,28.4750386,77.0159974
,,,park,,,,,,center,way/189075016,,,,,,,,,,,,,,,,,,,,,,,,,28.4744178,77.0039979
,,,park,,,,,,center,way/189075019,,,,,,,,,,,,,,,,,,,,,,,,,28.4769573,77.0122936
,,,park,,,,,,center,way/189075026,,,,,,,,,,,,,,,,,,,,,,,,,28.4758845,77.0039262
,,,park,,,,,,center,way/189075029,,,,,,,,,,,,,,,,,,,,,,,,,28.4728882,77.0049067
,,,park,,,,,,center,way/189075033,,,,,,,,,,,,,,,,,,,,,,,,,28.4728061,77.0145577
,,,park,,,,,,center,way/189088291,,,,,,,,,,,,,,,,,,,,,,,,,28.4713258,77.0020886
,,,park,,,,,,center,way/189088292,,,,,,,,,,,,,,,,,,,,,,,,,28.4725465,76.9995264
,,,park,,,,,,center,way/189108363,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5032913,77.0440846
,,,park,,,,,,center,way/189108364,,,,,,,,,,,,,,,,,,,,,,,,,28.5056855,77.050821
,,,park,,,,,,center,way/189108365,,,,,,,,,,,,,,Ticona Park,,,,,,,,,,,28.5063432,77.0496458
,,,park,,,,,,center,way/189108367,,,,,,,,,,,,,,,,,,,,,,,,,28.5045201,77.0374492
,,,park,,,,,,center,way/189108368,,,,,,,,,,,,,,,,,,,,,,,,,28.5039803,77.0397483
,,,park,,,,,,center,way/189108369,,,,,,,,,,,,,,,,,,,,,,,,,28.5066644,77.0408908
,,,park,,,,,,center,way/189120073,,,,,,,,,,,,,,,,,,,,,,,,,28.5070919,77.0536365
,,,park,,,,,,center,way/189120074,,,,,,,,,,,,,,,,,,,,,,,,,28.5082509,77.0620529
,,,park,,,,,,center,way/189120075,,,,,,,,,,,,,,,,,,,,,,,,,28.5044578,77.0619889
,,,park,,,,,,center,way/189120077,,,,,,,,,,,,,,,,,,,,,,,,,28.5067943,77.0590064
,,,park,,,,,,center,way/189120078,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5152772,77.042879
,,,park,,,,,,center,way/189120079,,,,,,,,,,,,,,,,,,,,,,,,,28.5066788,77.0620639
,,,park,,,,,,center,way/189120080,,,,,,,,,,,,,,,,,,,,,,,,,28.5137624,77.04747
,,,park,,,,,,center,way/189120082,,,,,,,,,,,,,,,,,,,,,,,,,28.5142277,77.0523463
,,,park,,,,,,center,way/189120083,,,,,,,,,,,,,,,,,,,,,,,,,28.5079418,77.067681
,,,park,,,,,,center,way/189120084,,,,,,,,,,,,,,,,,,,,,,,,,28.5110021,77.0445507
,,,park,,,,,,center,way/189120086,,,,,,,,,,,,,,,,,,,,,,,,,28.5090528,77.0497671
,,,park,,,,,,center,way/189120087,,,,,,,,,,,,,,,,,,,,,,,,,28.5041319,77.0601162
,,,park,,,,,,center,way/189120088,,,,,,,,,,,,,,,,,,,,,,,,,28.5040304,77.0642136
,,,park,,,,,,center,way/189120090,,,,,,,,,,,,,,,,,,,,,,,,,28.5153723,77.0477139
,,,park,,,,,,center,way/189120091,,,,,,,,,,,,,,,,,,,,,,,,,28.5123032,77.0451226
,,,park,,,,,,center,way/189120092,,,,,,,,,,,,,,,,,,,,,,,,,28.5071016,77.067696
