email,surface,smoking,fixme,addr:place,operator,operator:type,@geometry,wikipedia,@id,addr:city,building,website,addr:village:hi,level,grades,addr:village,building:levels,smoothness,addr:state,fax,addr:postcode,landuse,addr:housenumber,start_date,mobile,description,addr:suburb,wheelchair,type,barrier,is_in,addr:street:name,check_date,school,name,name:en,source,alt_name,brand,wikidata,addr:district,amenity,addr:village:en,branch,short_name,phone,addr:street,opening_hours,latitude,longitude
,,,School boundary in front need extraction from service highway,,,,center,,relation/16545002,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2025-02-23,,Excelsior American School,,,,,,,school,,,,,,,28.4572169,77.0887486
,,,,,,,center,,way/34940768,,,https://www.dpsgurgaon.org/,,,,,,,,,,,,,,,,,,wall,,,,,Delhi Public School,,,,,,,school,,,DPS Gurgaon,,,,28.441745,77.0645962
,,,,,,,center,,way/42310648,,yes,,,,,,,,,,,,,,,,,,,,,,,,iDiscovery School,,,,,,,school,,,,,,,28.4304958,77.0568076
,,,,,,,center,,way/42807043,,,,,,,,,,,,,,,,,,,,,wall,,,,,SD Adarsh Vidyalaya,,,,,,,school,,,,,,,28.4223049,77.0399589
,,,,,,,center,,way/43194607,,,,,,,,,,,,,,,,,,,,,,,,,,Starex International School,,,,,,,school,,,,,,,28.297603,76.8650076
admissions@ags.amity.edu,,,,Sector 46,,,center,,way/45769377,Gurugram,,https://amityglobalschoolgurgaon.com,,,0-12,,,,,,,,,,+ 91-8448481410,,,,,,,,,,Amity Global School,Amity Global School,,,,,Gurugram,school,,,,,Sector 46,,28.4340035,77.0631446
,,,,,,,center,,way/47418857,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,28.4623239,76.990922
,,,,,,,center,,way/58765809,,,,,,,,,,,,,,,,,,,,,wall,,,,,Rotary Public School,,,,,,,school,,,,,,,28.5018638,77.062301
school.gurgaon@pathways.in,,,,,,,center,,way/81509345,Gurugram,,https://www.pathways.in/gurgaon,,,,,,,,,122003,,,,,"Pathways School is a premium boarding school in Gurgaon rated among the five best architectural works in Delhi and NCR. It provides a wide range of specialised programs and courses for students of diverse age groups. Here, the curriculum includes primary",,,,,"Gurgaon, Haryana, India",,,,Pathways World School,,,,,,,school,,,,+91 124 4872000,"Faridabad - Gurgaon Rd, Baliawas",,28.3110425,77.012204
,,,,,,,center,,way/133485167,,,,,,,,,,,,,,,,,,,,,,,,,,DPS Infant Wing (Sec-40),,,,,,,school,,,,,,,28.4500278,77.0525254
southcity@krmangalam.com,,,,,,,center,,way/166639862,Gurugram,,https://www.krmangalamgurgaon.com,,,0-12,,,,,,,,,,,,,,,wall,,,2025-02-23,,K.R. Mangalam World School,K.R. Mangalam World School,,,,,Gurugram,school,,,,0124-2382596,"E- Block, South City",,28.4600828,77.0660776
,,,,,,,center,,way/189050380,,,,,,,,,,,,,,,,,,,yes,,wall,,,,,,,,,,,,school,,,,,,,28.3636821,76.9462383
,,,Name missing.,,,,center,,way/189074989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,28.4705311,77.0071112
ccaschool.gurgaon@gmail.com,,,,,The Scientific Educational Advancement Society,,center,,way/189075001,Gurugram,,https://www.ccaschoolgurgaon.org,,,,,,,,,120001,,,,,,,,,,,,,,Colonel's Central Academy,Colonel's Central Academy,,,,,Gurugram,school,,,,0124-2391693,Sector 4,,28.4768799,77.0050925
,,,,,,,center,,way/189075005,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Bells Model Sr. Sec. School,,,,,,,school,,,,,,,28.4780959,77.0116717
