Zone,Year,Population Density (per sq km),Housing Units,Avg Household Size,Green Area (%),Total Road Length (km),Highway Ratio,Arterial Ratio,Local Road Ratio,Current Congestion Level (%),Housing Growth Rate (%)
Zone G,2018,11687,51873,4.6,24.34,245.2,0.07,0.27,0.58,39.5,1.81
Zone O,2013,12018,19903,5.4,13.36,459.5,0.16,0.46,0.66,74.9,4.17
Zone K2,2025,19302,13020,3.9,24.68,219.8,0.23,0.27,0.62,91.4,6.52
Zone H,2020,9970,51755,4.9,18.36,483.8,0.2,0.28,0.57,74.4,4.86
Zone G,2015,16389,55648,3.9,17.69,90.2,0.22,0.2,0.57,51.6,4.51
Zone K2,2024,25586,19516,4.6,8.32,359.2,0.07,0.46,0.68,62.5,2.87
Zone K2,2010,29951,12396,3.7,22.64,272.2,0.29,0.44,0.42,72.0,3.39
Zone D,2018,23374,29129,4.4,13.55,224.4,0.26,0.39,0.3,63.2,6.19
Zone H,2010,13788,11591,5.0,8.24,334.7,0.25,0.43,0.41,37.8,4.58
Zone C,2014,13408,21303,4.2,5.25,366.7,0.26,0.25,0.39,50.3,4.33
Zone B,2013,17446,40561,4.8,16.2,52.0,0.28,0.34,0.56,82.2,2.05
Zone L,2022,8922,17314,5.1,15.55,125.1,0.19,0.31,0.55,86.0,1.59
Zone F,2021,8419,29623,5.4,19.39,370.9,0.1,0.23,0.54,38.9,6.8
Zone B,2025,26588,77675,4.0,22.81,349.9,0.2,0.35,0.31,91.9,3.57
Zone A,2022,18789,75082,4.3,6.59,484.7,0.24,0.48,0.59,51.4,4.82
Zone L,2022,9120,43130,3.8,19.63,392.5,0.23,0.21,0.43,73.1,1.94
Zone L,2023,19260,61756,5.5,8.75,477.8,0.18,0.29,0.57,78.9,5.26
Zone P2,2012,25334,36292,5.4,22.16,366.1,0.07,0.26,0.52,82.8,6.63
Zone K1,2022,10336,79274,4.6,21.38,184.1,0.14,0.27,0.44,91.5,4.67
Zone P1,2015,13373,12469,5.2,15.82,97.4,0.28,0.47,0.35,50.3,2.19
Zone O,2011,10243,63947,4.5,19.2,401.8,0.2,0.34,0.34,85.8,4.7
Zone O,2012,27029,32534,4.7,11.29,339.9,0.18,0.34,0.63,38.6,5.71
Zone L,2025,12612,73620,3.7,14.42,71.7,0.12,0.43,0.67,75.8,3.74
Zone C,2014,21946,58874,5.0,21.43,212.0,0.14,0.25,0.56,78.2,6.34
Zone E,2024,26249,59708,3.8,14.19,480.6,0.27,0.35,0.34,74.1,5.07
Zone G,2018,19104,78344,5.2,12.16,275.2,0.22,0.33,0.46,46.4,6.45
Zone J,2011,21429,59138,5.1,14.88,244.7,0.25,0.38,0.59,86.7,4.93
Zone G,2019,14371,64302,4.9,21.56,256.0,0.16,0.5,0.61,41.0,2.22
Zone D,2017,14359,57638,3.6,11.7,144.0,0.21,0.43,0.35,33.5,3.2
Zone N,2023,15863,12719,4.1,8.48,215.9,0.11,0.32,0.3,76.6,2.61
Zone J,2011,11228,32890,4.0,19.24,216.4,0.23,0.45,0.58,60.9,6.5
Zone B,2020,28103,46509,4.2,21.52,73.6,0.16,0.25,0.44,85.2,5.68
Zone O,2022,22382,52534,3.7,7.01,395.4,0.16,0.21,0.4,54.9,5.22
Zone G,2014,26755,28787,5.4,9.8,237.4,0.21,0.26,0.31,40.9,3.16
Zone L,2016,10891,58845,4.6,7.84,420.0,0.28,0.3,0.52,84.4,2.51
Zone H,2017,11756,67932,4.1,11.96,432.7,0.07,0.35,0.64,65.7,5.66
Zone O,2010,28609,43062,4.3,14.01,145.4,0.26,0.38,0.68,42.3,4.11
Zone C,2015,23770,70461,4.4,19.98,345.8,0.12,0.47,0.53,76.8,2.74
Zone N,2010,24478,76672,4.7,18.02,262.5,0.16,0.35,0.51,63.2,4.89
Zone P2,2011,10674,44832,4.5,17.42,446.1,0.06,0.35,0.33,69.3,1.72
Zone D,2025,14898,41966,5.3,12.05,147.1,0.13,0.22,0.52,60.0,3.29
Zone H,2024,18147,22987,4.5,21.83,355.0,0.18,0.21,0.45,83.9,4.08
Zone D,2010,8793,47311,5.5,14.43,323.5,0.06,0.37,0.54,83.9,2.31
Zone B,2020,10116,41575,5.2,24.58,182.9,0.17,0.33,0.46,76.1,6.92
Zone F,2014,13779,73852,3.9,17.68,111.5,0.28,0.45,0.4,36.9,2.65
Zone K1,2019,20298,11007,5.4,7.53,343.2,0.08,0.25,0.34,84.5,2.22
Zone D,2024,22153,57517,3.7,18.52,382.4,0.24,0.21,0.43,73.6,2.62
Zone L,2018,19111,39257,5.1,11.5,192.0,0.15,0.33,0.34,75.3,5.73
Zone B,2015,18789,52207,4.3,18.73,340.2,0.21,0.27,0.37,53.6,3.84
Zone K1,2020,19397,23281,5.3,6.39,227.8,0.12,0.21,0.69,87.2,4.61
Zone D,2020,20999,71246,5.2,8.5,370.9,0.09,0.42,0.48,77.1,1.62
Zone N,2010,8814,11435,5.1,22.11,139.6,0.09,0.23,0.51,37.3,1.69
Zone P1,2022,24729,36660,5.1,9.54,450.6,0.07,0.38,0.65,56.5,3.95
Zone O,2010,18541,15084,4.1,21.74,179.3,0.1,0.28,0.7,87.6,5.99
Zone H,2011,10443,23507,3.7,10.59,215.5,0.22,0.25,0.53,33.1,6.37
Zone N,2018,18457,55539,4.3,17.86,76.1,0.27,0.31,0.62,92.5,1.98
Zone H,2012,18380,17491,3.8,18.88,100.2,0.25,0.44,0.43,74.1,4.46
Zone P1,2024,15783,60192,4.9,15.25,282.1,0.22,0.32,0.42,71.0,6.52
