cell_id,zone_name,area_km2,population,population_density_per_km2,park_count,park_area_km2,green_area_pct,school_count,hospital_count,primary_roads_km,parks_per_10k_residents,schools_per_10k_residents,hospitals_per_100k_residents,coverage_score,coverage_label
1,South West,0.3296,2170,6582.9,1,0.0043,1.3,1,0,1.01,4.608,4.608,0.0,39.45,Needs Improvement
2,North West,1.1503,9523,8278.6,9,0.0524,4.55,3,0,6.99,9.451,3.15,0.0,64.01,Good
3,North East,0.7493,15551,20753.4,16,0.0593,7.91,4,0,4.81,10.289,2.572,0.0,72.75,Excellent
4,North East,0.2561,4838,18890.4,3,0.0189,7.4,0,0,0.58,6.201,0.0,0.0,44.05,Needs Improvement
5,West,0.4468,3256,7286.6,3,0.0185,4.15,1,0,3.36,9.214,3.071,0.0,61.9,Good
6,East,1.7032,19063,11192.7,20,0.0646,3.79,7,1,9.07,10.492,3.672,5.246,77.2,Excellent
7,New Delhi,0.1474,2375,16109.0,2,0.0058,3.92,1,0,0.81,8.421,4.211,0.0,63.59,Good
8,North West,0.4888,7656,15661.6,7,0.0432,8.83,3,0,1.59,9.143,3.918,0.0,72.61,Excellent
9,North,1.3515,9436,6982.1,9,0.0271,2.0,3,1,5.43,9.538,3.179,10.598,70.31,Excellent
10,West,0.3759,5583,14852.2,3,0.0173,4.6,1,0,1.31,5.373,1.791,0.0,46.1,Needs Improvement
11,North,0.4208,4416,10495.4,3,0.0079,1.89,1,0,3.31,6.793,2.264,0.0,47.85,Needs Improvement
12,South,0.5974,12916,21621.0,8,0.0287,4.8,4,0,2.4,6.194,3.097,0.0,55.77,Good
13,South West,1.5472,19118,12356.4,15,0.0773,5.0,5,1,4.1,7.846,2.615,5.231,68.94,Good
14,North West,0.431,6660,15453.5,4,0.0125,2.9,2,0,3.33,6.006,3.003,0.0,52.65,Good
15,South,0.4844,6207,12812.8,7,0.0192,3.97,2,0,2.52,11.278,3.222,0.0,68.5,Good
16,West,0.4872,8515,17475.8,10,0.0272,5.59,0,0,3.88,11.744,0.0,0.0,56.99,Good
17,North East,2.3754,23387,9845.3,19,0.0715,3.01,10,0,9.3,8.124,4.276,0.0,57.82,Good
18,North,2.3483,41068,17488.3,38,0.1955,8.32,10,0,8.72,9.253,2.435,0.0,69.59,Good
19,West,1.155,25075,21710.9,19,0.0975,8.44,5,1,5.32,7.577,1.994,3.988,70.83,Excellent
20,South West,0.7972,22238,27895.5,17,0.0998,12.52,4,2,5.76,7.645,1.799,8.994,73.29,Excellent
21,North West,0.9842,24823,25222.2,18,0.1056,10.73,13,0,6.87,7.251,5.237,0.0,67.27,Good
22,South,1.5466,16707,10802.3,15,0.0575,3.72,5,0,7.03,8.978,2.993,0.0,62.72,Good
23,South West,0.3606,6081,16861.7,6,0.0183,5.09,2,1,1.11,9.867,3.289,16.445,80.82,Excellent
24,South West,1.2803,23673,18489.7,17,0.1066,8.32,4,0,9.74,7.181,1.69,0.0,57.58,Good
25,South,0.298,5050,16947.0,4,0.0209,7.02,0,0,1.43,7.921,0.0,0.0,50.46,Good
26,South West,0.4313,7803,18093.1,3,0.0129,2.98,1,1,3.33,3.845,1.282,12.816,45.51,Needs Improvement
27,South,1.0897,17282,15859.6,7,0.0217,1.99,3,0,3.39,4.05,1.736,0.0,37.37,Needs Improvement
28,Central,0.2683,2887,10759.6,3,0.0198,7.37,0,0,0.55,10.391,0.0,0.0,56.39,Good
29,North West,0.5813,8454,14542.2,3,0.0073,1.25,1,0,3.3,3.549,1.183,0.0,31.37,Needs Improvement
30,South West,0.377,7081,18780.9,5,0.0123,3.26,1,0,2.52,7.061,1.412,0.0,49.38,Needs Improvement
31,South,0.5424,8733,16100.6,7,0.0236,4.36,1,0,4.24,8.016,1.145,0.0,53.23,Good
32,West,0.1179,1018,8631.1,3,0.0102,8.69,0,0,0.43,29.47,0.0,0.0,56.61,Good
33,South,0.2184,2058,9421.8,3,0.0122,5.57,0,0,1.68,14.577,0.0,0.0,53.25,Good
34,East,0.4155,4722,11364.9,4,0.009,2.16,1,0,1.48,8.471,2.118,0.0,54.75,Good
35,South West,1.1031,13604,12332.8,16,0.0947,8.58,5,0,4.4,11.761,3.675,0.0,73.95,Excellent
36,North,0.5698,8122,14255.3,12,0.0689,12.09,2,0,2.6,14.775,2.462,0.0,76.93,Excellent
37,North East,0.6334,5735,9054.4,2,0.0096,1.52,3,0,1.47,3.487,5.231,0.0,36.89,Needs Improvement
38,South,0.9556,17580,18397.3,14,0.0339,3.54,3,1,7.02,7.964,1.706,5.688,64.82,Good
39,Central,0.373,2375,6366.8,3,0.019,5.1,1,0,2.51,12.632,4.211,0.0,65.62,Good
40,West,0.7496,12397,16537.9,9,0.0243,3.24,4,0,5.63,7.26,3.227,0.0,58.09,Good
41,North,0.39,6393,16392.1,7,0.0422,10.82,1,0,3.07,10.949,1.564,0.0,71.35,Excellent
42,South,0.2243,3884,17319.6,3,0.0188,8.38,0,0,1.25,7.724,0.0,0.0,51.37,Good
43,Central,0.5001,1963,3925.1,2,0.0087,1.74,0,0,3.76,10.188,0.0,0.0,44.79,Needs Improvement
44,South,0.8922,6961,7802.3,3,0.0113,1.26,3,1,3.74,4.31,4.31,14.366,49.02,Needs Improvement
45,South West,0.7747,9006,11624.5,5,0.015,1.93,4,0,2.49,5.552,4.441,0.0,47.37,Needs Improvement
46,Central,0.6278,8989,14317.4,3,0.0083,1.32,1,1,2.29,3.337,1.112,11.125,40.1,Needs Improvement
47,West,2.6566,34423,12957.6,28,0.1625,6.12,7,0,19.97,8.134,2.034,0.0,58.99,Good
48,Central,0.8101,7831,9667.0,5,0.0213,2.63,3,0,2.91,6.385,3.831,0.0,50.27,Good
49,South West,1.1375,25440,22364.1,19,0.0563,4.95,5,1,7.74,7.469,1.965,3.931,65.89,Good
50,North West,2.4218,36905,15238.7,29,0.1909,7.88,12,0,18.4,7.858,3.252,0.0,66.29,Good
51,North West,0.2909,3325,11430.6,4,0.0263,9.04,1,0,1.69,12.03,3.008,0.0,73.92,Excellent
52,North,0.339,3057,9016.7,3,0.0197,5.8,2,0,0.82,9.814,6.542,0.0,67.51,Good
53,South,1.8001,24763,13756.3,12,0.0272,1.51,7,0,6.06,4.846,2.827,0.0,44.58,Needs Improvement
54,Central,0.3917,8675,22146.0,9,0.0386,9.85,3,0,2.33,10.375,3.458,0.0,77.32,Excellent
55,East,0.6437,8738,13575.2,5,0.0123,1.92,3,0,4.75,5.722,3.433,0.0,49.33,Needs Improvement
56,West,1.2011,15873,13215.7,9,0.0389,3.24,4,2,4.37,5.67,2.52,12.6,58.14,Good
57,South,1.079,14832,13745.9,13,0.0445,4.13,3,1,5.71,8.765,2.023,6.742,69.49,Good
58,South West,1.8122,25458,14047.9,27,0.1211,6.68,6,0,12.64,10.606,2.357,0.0,69.5,Good
59,West,1.5512,18915,12194.0,12,0.0364,2.35,3,2,4.85,6.344,1.586,10.574,54.37,Good
60,South,1.2011,10895,9070.6,11,0.0533,4.44,1,0,4.6,10.096,0.918,0.0,56.18,Good
61,West,0.3977,9814,24675.5,10,0.0287,7.23,1,1,1.4,10.19,1.019,10.19,74.13,Excellent
62,North East,1.0187,17597,17273.7,23,0.1107,10.87,4,1,5.25,13.07,2.273,5.683,84.95,Excellent
63,East,0.7635,23838,31221.0,22,0.0798,10.45,4,0,3.09,9.229,1.678,0.0,64.22,Good
64,North,0.2853,4660,16332.4,3,0.017,5.96,1,1,1.21,6.438,2.146,21.459,63.93,Good
65,South West,1.4799,18060,12203.2,8,0.0242,1.64,2,0,10.85,4.43,1.107,0.0,33.44,Needs Improvement
66,North East,1.0263,9410,9168.8,9,0.0503,4.9,2,0,3.22,9.564,2.125,0.0,61.12,Good
67,East,0.6498,7622,11729.6,8,0.0359,5.53,1,0,3.63,10.496,1.312,0.0,61.29,Good
68,North,0.5498,4640,8439.7,2,0.0087,1.58,1,0,4.13,4.31,2.155,0.0,35.61,Needs Improvement
69,North,0.3081,9545,30980.9,6,0.0359,11.64,5,0,2.08,6.286,5.238,0.0,60.71,Good
70,North West,0.7127,9476,13295.5,4,0.0205,2.88,3,0,5.28,4.221,3.166,0.0,44.35,Needs Improvement
71,South West,0.8375,15353,18331.5,14,0.0362,4.33,4,0,5.22,9.119,2.605,0.0,64.91,Good
72,South,0.384,7553,19668.4,6,0.0377,9.83,0,0,1.27,7.944,0.0,0.0,54.06,Good
73,South West,1.2699,26194,20626.6,17,0.0386,3.04,6,1,7.25,6.49,2.291,3.818,61.21,Good
74,Central,0.3274,12142,37090.7,5,0.029,8.86,2,0,1.96,4.118,1.647,0.0,37.72,Needs Improvement
75,South West,0.1769,2279,12883.8,1,0.0028,1.59,1,1,0.62,4.388,4.388,43.879,53.13,Good
76,North,1.1799,14686,12446.4,13,0.0391,3.31,4,0,7.15,8.852,2.724,0.0,61.46,Good
77,West,0.4964,7096,14295.2,4,0.0262,5.28,1,0,3.89,5.637,1.409,0.0,45.73,Needs Improvement
78,West,0.5863,10587,18058.5,12,0.0368,6.28,2,0,4.33,11.335,1.889,0.0,67.3,Good
79,South West,0.3826,5500,14377.0,3,0.014,3.65,1,0,2.68,5.455,1.818,0.0,45.05,Needs Improvement
80,North,0.2412,2900,12021.1,2,0.0084,3.48,3,0,1.46,6.897,10.345,0.0,54.94,Good
81,South,1.3428,13499,10052.8,9,0.0339,2.52,4,0,10.72,6.667,2.963,0.0,51.34,Good
82,East,0.4182,4107,9819.7,4,0.0148,3.54,1,0,2.07,9.739,2.435,0.0,62.1,Good
83,North West,1.7129,25539,14909.7,25,0.1394,8.14,7,0,12.79,9.789,2.741,0.0,72.98,Excellent
84,West,1.0264,9213,8976.5,15,0.0446,4.34,1,0,6.26,16.281,1.085,0.0,56.84,Good
85,North,0.5235,3391,6477.6,4,0.0095,1.82,1,0,3.33,11.796,2.949,0.0,61.34,Good
86,South,0.3296,4620,14017.6,5,0.0312,9.47,1,0,1.04,10.823,2.165,0.0,72.0,Excellent
87,North West,0.4074,8683,21310.9,5,0.0189,4.64,3,0,2.66,5.758,3.455,0.0,53.83,Good
88,North East,0.3055,5328,17441.7,4,0.0233,7.63,3,0,0.78,7.508,5.631,0.0,64.57,Good
89,Central,2.212,29399,13290.7,16,0.0593,2.68,6,2,15.58,5.442,2.041,6.803,54.18,Good
90,North,0.6979,10976,15727.7,10,0.0512,7.33,1,0,3.14,9.111,0.911,0.0,60.16,Good
91,West,1.2608,8733,6926.5,10,0.0397,3.15,2,0,5.28,11.451,2.29,0.0,60.01,Good
92,West,0.2956,3002,10156.0,2,0.0098,3.32,5,0,0.66,6.662,16.656,0.0,52.56,Good
93,North West,0.7049,18462,26192.4,18,0.0843,11.96,2,0,1.47,9.75,1.083,0.0,68.57,Good
94,North,1.2819,27556,21496.2,17,0.1076,8.4,7,2,6.97,6.169,2.54,7.258,67.87,Good
95,South West,0.5172,5208,10070.2,5,0.0133,2.57,0,0,2.69,9.601,0.0,0.0,48.33,Needs Improvement
96,South,1.1739,31698,27003.3,28,0.088,7.5,10,1,6.1,8.833,3.155,3.155,78.37,Excellent
97,South West,0.3299,3313,10043.9,5,0.0187,5.68,1,1,1.55,15.092,3.018,30.184,78.8,Excellent
98,South,0.279,2687,9630.0,2,0.0076,2.71,1,0,0.65,7.443,3.722,0.0,54.58,Good
99,South West,0.794,19646,24744.6,18,0.0705,8.88,5,0,5.01,9.162,2.545,0.0,70.47,Excellent
100,North East,0.5036,11375,22585.3,9,0.0572,11.36,4,0,1.26,7.912,3.516,0.0,70.85,Excellent
101,South,0.9295,9832,10578.1,10,0.0479,5.16,2,2,3.67,10.171,2.034,20.342,73.67,Excellent
102,South West,0.193,2533,13124.9,1,0.0046,2.38,1,0,1.3,3.948,3.948,0.0,42.52,Needs Improvement
103,West,0.9695,11319,11675.6,13,0.0328,3.38,5,0,7.45,11.485,4.417,0.0,67.01,Good
104,South,3.006,49230,16377.3,40,0.2051,6.82,7,0,9.86,8.125,1.422,0.0,58.14,Good
105,North,0.623,15612,25057.9,12,0.0452,7.26,3,1,4.39,7.686,1.922,6.405,69.39,Good
106,West,0.6454,10689,16561.9,8,0.0183,2.83,1,0,2.82,7.484,0.936,0.0,48.16,Needs Improvement
107,South West,0.7042,9007,12789.8,7,0.0375,5.32,1,0,1.45,7.772,1.11,0.0,51.82,Good
108,North,0.2069,1616,7810.8,2,0.0087,4.19,0,1,0.88,12.376,0.0,61.881,60.44,Good
109,South,0.8165,14920,18272.3,8,0.0351,4.3,3,0,1.73,5.362,2.011,0.0,46.88,Needs Improvement
110,South,0.2413,1980,8204.8,2,0.0084,3.46,0,0,1.28,10.101,0.0,0.0,49.8,Needs Improvement
111,East,0.4892,6076,12420.3,5,0.0164,3.35,1,0,1.96,8.229,1.646,0.0,53.61,Good
112,South,1.3329,26177,19639.3,23,0.0508,3.81,3,2,5.54,8.786,1.146,7.64,65.64,Good
113,West,0.4068,7532,18516.6,8,0.0211,5.2,2,0,1.01,10.621,2.655,0.0,69.77,Good
114,North East,0.8542,15992,18722.3,11,0.0511,5.98,4,1,5.15,6.878,2.501,6.253,67.49,Good
115,North West,1.161,20554,17703.9,21,0.0471,4.06,2,0,2.97,10.217,0.973,0.0,59.94,Good
116,North East,0.7474,10606,14190.2,7,0.0165,2.21,1,1,4.43,6.6,0.943,9.429,53.34,Good
117,Central,0.2778,4196,15105.7,2,0.0095,3.41,1,0,1.84,4.766,2.383,0.0,45.24,Needs Improvement
118,New Delhi,0.518,7193,13887.2,9,0.0279,5.4,2,0,2.89,12.512,2.78,0.0,69.9,Good
119,North West,2.0488,33266,16236.5,31,0.1959,9.56,2,0,12.08,9.319,0.601,0.0,62.23,Good
120,North,0.1876,3110,16577.1,3,0.0147,7.85,1,0,1.11,9.646,3.215,0.0,73.39,Excellent
121,South West,0.5359,7566,14118.8,11,0.0448,8.36,2,0,3.69,14.539,2.643,0.0,73.08,Excellent
122,North West,0.454,7464,16440.2,10,0.0417,9.18,1,0,1.35,13.398,1.34,0.0,68.17,Good
123,North West,0.6798,6919,10177.7,8,0.0411,6.04,2,1,2.86,11.562,2.891,14.453,78.79,Excellent
124,North West,0.9906,11728,11839.3,9,0.0459,4.64,2,0,6.19,7.674,1.705,0.0,52.91,Good
125,South,1.66,24368,14679.2,20,0.0954,5.75,6,0,12.85,8.207,2.462,0.0,62.11,Good
126,South,0.5377,15535,28893.3,14,0.068,12.65,5,2,3.39,9.012,3.219,12.874,84.26,Excellent
127,New Delhi,1.0295,17028,16540.8,13,0.0731,7.1,4,0,7.71,7.634,2.349,0.0,61.16,Good
128,South West,0.8534,10824,12683.4,9,0.0276,3.24,6,0,4.95,8.315,5.543,0.0,60.76,Good
129,New Delhi,0.8405,10302,12257.1,7,0.0183,2.17,5,0,2.85,6.795,4.853,0.0,53.07,Good
130,South West,0.4508,8126,18025.7,10,0.0261,5.78,3,0,1.83,12.306,3.692,0.0,72.22,Excellent
131,North West,0.3476,4475,12874.8,2,0.0071,2.03,1,0,1.48,4.469,2.235,0.0,40.17,Needs Improvement
132,Central,0.3268,5645,17273.4,7,0.0399,12.21,0,0,1.2,12.4,0.0,0.0,65.26,Good
133,North West,0.4016,6597,16425.8,3,0.0086,2.14,2,0,1.12,4.548,3.032,0.0,45.86,Needs Improvement
134,East,0.7669,6236,8131.1,3,0.013,1.69,1,0,4.56,4.811,1.604,0.0,34.8,Needs Improvement
135,North,0.9982,16144,16173.2,5,0.0272,2.72,4,1,5.65,3.097,2.478,6.194,48.18,Needs Improvement
136,New Delhi,0.7677,12381,16126.4,11,0.0557,7.25,6,0,4.88,8.885,4.846,0.0,69.6,Good
137,North East,0.4549,8374,18409.7,7,0.0206,4.52,1,0,1.11,8.359,1.194,0.0,55.06,Good
138,North West,1.8686,17896,9577.0,10,0.0552,2.96,5,0,10.26,5.588,2.794,0.0,46.4,Needs Improvement
139,South West,1.5729,32616,20735.7,25,0.0984,6.26,7,1,9.92,7.665,2.146,3.066,69.21,Good
140,West,0.5113,6402,12520.7,5,0.0243,4.75,2,0,1.38,7.81,3.124,0.0,60.53,Good
141,South,0.3858,11440,29652.6,11,0.0418,10.82,1,1,1.66,9.615,0.874,8.741,73.26,Excellent
142,Central,0.6837,18448,26982.8,24,0.0915,13.38,1,1,2.47,13.01,0.542,5.421,78.11,Excellent
143,East,1.3526,14196,10495.6,12,0.0417,3.08,3,1,9.21,8.453,2.113,7.044,65.23,Good
144,West,0.772,5976,7740.5,5,0.031,4.01,3,0,5.77,8.367,5.02,0.0,58.64,Good
