id,@id,addr:block,addr:city,addr:city:ur,addr:country,addr:district,addr:floor,addr:full,addr:housename,addr:housenumber,addr:locality,addr:neighbourhood,addr:place,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,alt_name,alt_name_1,amenity,baby_feeding,barrier,beds,branch,brand,brand:wikidata,building,building:colour,building:levels,check_date,contact:email,contact:nodal_officer_email,contact:nodal_officer_mobile,contact:phone,contact:website,description,designation,email,emergency,fax,gnis:feature_id,healthcare,healthcare:speciality,highway,image,internet_access,internet_access:fee,is_in,kids_area,landuse,level,loc_name,mobile,name,name:en,name:etymology:wikidata,name:hi,name:ur,network,nohousenumber,note,old_name,opening_hours,operator,operator:short,operator:type,operator:ur,operator:wikidata,phone,roof:shape,shop,short_name,source,start_date,type,url,website,wheelchair,wikidata,wikipedia,@geometry,geometry
relation/11215042,relation/11215042,,,,,West Delhi,,"A-4/22, Nangloi Saiyed Road, Paschim Vihar",,,,,,110063,Delhi,,,,,,hospital,,,,,,,yes,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,B K Memorial Hospital,,,,,,,,,,,,,,,,,,,Local Knowledge,,multipolygon,,,,,,center,POINT (77.1125924 28.6712347)
relation/16032221,relation/16032221,,New Delhi,,,,,,,,,,,110085,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,hospital,general;paediatrics;ophthalmology;intensive;orthopaedics;emergency;vaccination;maternity,,,,,,,,,,,Maharaja Agrasen Hospital,,Q2721961,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,center,POINT (77.0653951 28.7182702)
way/34404757,way/34404757,,,,,New Delhi,,"Baba Kharak Singh Marg, Near Bangla Sahib Gurudwara",,,,,,110001,Delhi,,,,Wellingdon Hospital,,hospital,,wall,,,,,,,,,,,,011-22344470; 23404040; 23365525;23404325,,>500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Ram Manohar Lohia Hospital,,Q2759530,राम मनोहर लोहिया अस्पताल,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.2007463 28.6260617)
way/38170365,way/38170365,,New Delhi,,,,,,,"Sector B1, Vasant Kunj",,,,110070,,Aruna Asif Ali Marg,,,,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,commercial,,,,Fortis Hospital,,,,,,,,,,,,,,,,,,,,,,,,yes,,,center,POINT (77.160342 28.5192884)
way/44316348,way/44316348,,,,,South East,,"Lajpat Nagar III, Near Moolchand Metro Station, Defence Colony",,,,,,110024,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,,,100-500 Bedded Hospital,,,yes,,,hospital,,,,,,,,,,,,Moolchand Khairati Ram Hospital,,,,,,,,,,,,,,,42000102,,,,OpenGovernmentData,,,,,,,,center,POINT (77.2355355 28.5666901)
way/58763912,way/58763912,,,,,South West,,"Dwarka Sub-City, Sector-12, Dwarka",,,,,,110075,Delhi,,,,,,hospital,,wall,,,,,,,,2025-03-09,,,,,,100-500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Bensups Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.0440717 28.5926773)
way/63522273,way/63522273,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Batra Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.245588 28.5139239)
way/78164568,way/78164568,,,,,North West,,"Ph-III, Ashok Vihar",,,,,,110052,Delhi,,,,,,hospital,,,,,,,,,,,,,,47030900,,100-500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Nayati Sunder Lal Jain Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1814937 28.6921368)
way/78563271,way/78563271,,"Sector - 15, Rohini, Delhi",,,North,,"ESI Hospital Building, Sector-15 Rohini",,,,,,110085,Delhi,,,,,,hospital,,,,,,,,,,2024-07-01,,,,27861033,,District Hospital,,,yes,,,,,,,,,,,,,,,"ESI Hospital, Rohini",,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1257748 28.7279282)
way/78786549,way/78786549,E,Delhi,,,North,,"E Block, Bhalswa Jahangirpuri, North West, Delhi",,,,,,110033,Delhi,,,Bhalswa Jahangirpuri,,,hospital,,,,,,,,,,,,,,1127634636,,District Hospital,,,,,,,,,,,,,,,,,,Babu Jagjivan Ram Memorial Hospital,,Q1471625,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.172782 28.734498)
