School Name,Address,Status
Pataudi,VPO Lal Singh Patti Bhora kalan,Operational
Gurgaon,"12- Biswa, Village Gurugram, near sector- 5",Operational
Gurgaon,AARSHA INTERNATIONAL SCHOOL Bhimgarhkheri,Closed
Gurgaon,DHANWAPUR GURUGRAM HARYANA,Closed
Gurgaon,"SHEETLA MATA, GURGAON",Operational
Sohna,WARD NO-7 LAKHUWAS PO-SOHNA DISTT-GURUGRAM,Operational
Gurgaon,sarhaul sector 18 gurugram haryana,Operational
Gurgaon,Adarsh Public School Khandsa,Operational
Gurgaon,"689/21,Shivji Park, Gali NO. - 15, Gurugram",Operational
Sohna,MAIN ROAD KADARPUR DISTT. GURUGRAM HR.,Operational
F.nagar,"ADITYA PUBLIC SCHOOL, KHAINTAWAS, TEH-FARRUKH NAGAR, DISTT.- GURUGRAM",Operational
Gurgaon,"Captain Chandan Lal Road, Behrampur, Post Fazilpur, Sector 71, Gurugram, Haryana, Pin- 122101",Operational
Gurgaon,"OLD DELHI ROAD, SEC 14 GURGAON",Operational
Gurgaon,"Sector 31, Gurgaon 122001",Operational
F.nagar,Village Taj Nagar PO Patli Station District Gurugram HR,Operational
Gurgaon,"ALPINE CONVENT SCHOOL, SECTOR-10 GURUGRAM , HARYANA",Operational
Gurgaon,"behind Jalvayu Towers, Block B, Sector 56, Gurugram, Haryana",Operational
Pataudi,"VILL - RAMPUR, POST PATAUDI, DISTT - GURUGRAM, PIN - 123503",Operational
Sohna,"village-harchandpur,teh-sohna,dist-gurugram",Operational
Gurgaon,amar public school laxman vihar gurgaon,Operational
Gurgaon,Plot Number 4 Sector 56 Gurugram Haryana,Operational
Gurgaon,"Ambience Public School, Plot No - 1, Sector - 43, Gurugram, Haryana - 122002",Operational
Gurgaon,"L - 23,DLF PHASE-II, Gurugram",Operational
Pataudi,vill Gwalior Pachgaon Via Bhora Kalan Distt-Gurgaon Haryana-122413,Operational
Gurgaon,"Amity International School, Sector 46, Gurugram",Operational
Gurgaon,Power Grid Complex Sec-43,Operational
Gurgaon,VILL- KANKROLA IMT MANESAR GURUGRAM,Operational
Sohna,"vill- Lakhuwas-Sacholi,Teh- Sohna, Disstt-Gurugarm Haryana",Operational
Gurgaon,Plot no 35 Gali no 8 Block B Sheetla colony Gurugram,Operational
Pataudi,VPO GWALIOR PACHGAON 122413,Operational
Sohna,Aravali Vidya Niketan Bhondsi,Operational
Gurgaon,"1417/1, A/31,Laxman Vihar Phase 2, Gurugram",Operational
Gurgaon,4/8 Marla Model Town GURUGRAM,Operational
Sohna,VPO BADSHAHPUR GURGAON,Operational
Gurgaon,sector-7 GURUGRAM PIN 122001,Operational
Gurgaon,"chanderlok, DLF phase IV, gurgaon",Operational
Pataudi,"VPO-Bhora Kalan, Tehsil-Pataudi, Distt-Gurugram",Operational
Sohna,VPO BADSHAHPUR SECTOR 67 GURUGRAM HARYANA 122101,Operational
Sohna,Asian Public school Near Gurudwara sohna,Operational
Sohna,daulha-harchandpur road kharoda sohna,Operational
Sohna,"VATIKA KUNJ, BLOCK-B, NAYA GAON",Operational
Gurgaon,"PATTI PACHHAIYA,JHARSA,GURUGRAM",Operational
Gurgaon,"Rajiv Nagar, Old Delhi Road, Opposite Officers Mess,Gurugram",Operational
Gurgaon,Tek Chand Nagar gali no 2 sec 104 gurugram,Operational
Gurgaon,Sector-1 IMT Manesar,Operational
Gurgaon,LAXMAN VIHAR PHASE 1 GURUGRAM,Operational
Gurgaon,BAL BHARTI PUBLIC SCHOOL,Operational
Sohna,"Vill-Sehjawas, PO-Rithoj, Distt-Gurgaon, Pin-122102",Operational
Sohna,DELHI-ALWAR ROAD SOHNA,Operational
F.nagar,v.p.o jamalpur dist gurugram,Operational
Gurgaon,"ROSEWOOD CITY, BLOCK-C , SECTOR 49",Operational
Gurgaon,Garhi Harsaru Sec-84 Gurgaon Haryana,Operational
Gurgaon,VPO MANESAR GURUGRAM,Operational
Gurgaon,SECTOR 106 VILLAGE DAULTABAD,Operational
Pataudi,Vill Bilaspur Teh manesar Dist. Gurugram,Operational
Sohna,v.p.o hajipur teh-sohna,Operational
Gurgaon,"387, Gali no 3 , Krishan Nagar",Operational
Gurgaon,"Near Plot No. 57 P, Kendriya Vihar , Sector 56, Gurugram, Haryana 122011",Operational
Gurgaon,"H.No.- 818/22 ,Street No.- 5, GANDHI NAGAR, GURUGRAM",Operational
Gurgaon,BLOCK -G GALI NO. 1 SARASWATI ENCLAVE GURUGRAM,Operational
Sohna,VPO Daulah Teh Sohna Gurugram,Closed
Gurgaon,"Blue Bells Model School, Sector-4, Gurugram",Operational
Pataudi,"VILLAGE DADAWAS, PO INCHHAPURI, TEHSIL PATAUDI",Operational
Gurgaon,New Colony Hayatpur Road Garhi Harsaru Sector 95 B Gurgaon 122505,Operational
Gurgaon,rajiv nagar gali n 2 gurgaon,Operational
Gurgaon,Village Islampur Barwala Mohali Gurugram,Operational
Gurgaon,KASAN MANESAR GURUGRAM,Operational
Gurgaon,"Blue Bells Public School, Sector 10, Gurugram",Operational
