UDISE Code (masked),Status,State,Edu. District,Edu. Block,School Name,Academic Year,School Category,School Management,Class,School Type,School Location,LGD Block,LGD Panchayat,Urban Local Body,LGD Ward,LGD Village,Address,PIN Code,Email,Last Modified Time
******02609,Operational,Haryana,Gurugram,Pataudi,Pataudi,2025-26,2-Primary with Upper Primary,8-Unrecognized,1 To 8,3-Co-educational,1-Rural,PATAUDI,Dhani Kumbhawas,,,Bohara Kalan(134),VPO Lal Singh Patti Bhora kalan,122413,aadarshpublicschool@gmail.com,13/06/2022 11:11
******01916,Operational,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),1 To 12,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.8,,"12- Biswa, Village Gurugram, near sector- 5",122001,aakashpublicschool.5@gmail.com,12/05/2022 13:51
******02404,Closed,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,2-Primary with Upper Primary,8-Unrecognized,1 To 8,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.9,,AARSHA INTERNATIONAL SCHOOL Bhimgarhkheri,122001,aarshainternationalschool@gmail.com,03/06/2021 15:15
******01704,Closed,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,2-Primary with Upper Primary,8-Unrecognized,1 To 8,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.12,,DHANWAPUR GURUGRAM HARYANA,122001,aarshamodelschool@gmail.com,03/06/2021 15:15
******07351,Operational,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,2-Primary with Upper Primary,5-Private Unaided (Recognized),1 To 8,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.9,,"SHEETLA MATA, GURGAON",122001,vatssusheel@gmail.com,12/05/2022 12:26
******03703,Operational,Haryana,Gurugram,Sohna,Sohna,2025-26,1-Primary,5-Private Unaided (Recognized),1 To 5,3-Co-educational,2-Urban,NA,,Sohna_Notified Area Council,Sohna (MC) - Ward No.7,,WARD NO-7 LAKHUWAS PO-SOHNA DISTT-GURUGRAM,122103,aasthapublicschool@gmail.com,23/05/2022 15:11
******12006,Operational,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,2-Primary with Upper Primary,8-Unrecognized,1 To 8,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.5,,sarhaul sector 18 gurugram haryana,122001,accentpublicschool@gmail.com,09/08/2024 15:18
******08504,Operational,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,2-Primary with Upper Primary,5-Private Unaided (Recognized),1 To 8,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.27,,Adarsh Public School Khandsa,122001,apskhandsa@gmail.com,12/05/2022 14:52
******00630,Operational,Haryana,Gurugram,Gurgaon,Gurgaon,2025-26,2-Primary with Upper Primary,8-Unrecognized,1 To 8,3-Co-educational,2-Urban,Gurgaon,,Gurugram_Municipal Corporations,Gurgaon (M Cl ) - Ward No.22,,"689/21,Shivji Park, Gali NO. - 15, Gurugram",122001,adarshschoolshivjipark1989@gmail.com,12/05/2022 13:30
******03004,Operational,Haryana,Gurugram,Sohna,Sohna,2025-26,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),1 To 12,3-Co-educational,1-Rural,SOHNA,Garhi Wajidpur,,,Garhi Bazidpur(175),"VPO-GARHI BAZIDPUR,DIST-Gurugram",122103,adarshschoolgarhibazidpur98@gmail.com,23/05/2022 15:22
