id,@id,addr:city,addr:district,addr:full,addr:postcode,addr:state,addr:street,amenity,barrier,building,email,grades,leisure,mobile,name,name:en,operator,school,source,type,website,wheelchair,@geometry,geometry
relation/3628207,relation/3628207,,,,,,,,,,,,park,,,,,,,boundary,,,center,POINT (76.9579067 28.3649629)
relation/5622389,relation/5622389,,,,,,,hospital,,yes,,,,,Rockland Hospital,,,,,multipolygon,,yes,center,POINT (76.9328488 28.3667558)
way/43194607,way/43194607,,,,,,,school,,,,,,,Starex International School,,,,,,,,center,POINT (76.8650076 28.297603)
way/189047496,way/189047496,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9204197 28.3727729)
way/189047498,way/189047498,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9186813 28.3716587)
way/189047500,way/189047500,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9183912 28.372896)
way/189050374,way/189050374,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9498442 28.3646661)
way/189050375,way/189050375,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9484607 28.3646722)
way/189050376,way/189050376,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9478039 28.3632112)
way/189050377,way/189050377,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9484865 28.3665633)
way/189050378,way/189050378,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9498602 28.3665363)
way/189050379,way/189050379,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9432937 28.3634445)
way/189050380,way/189050380,,,,,,,school,wall,,,,,,,,,,,,,yes,center,POINT (76.9462383 28.3636821)
way/272211029,way/272211029,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9463047 28.3678535)
way/272403956,way/272403956,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.9007354 28.376133)
way/272522250,way/272522250,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9364371 28.3640516)
way/272539540,way/272539540,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.8888832 28.3787552)
way/272539541,way/272539541,,,,,,,,wall,,,,park,,,,,,,,,,center,POINT (76.8888576 28.3768516)
way/401251826,way/401251826,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9424771 28.3443776)
way/948054237,way/948054237,Nainwal,,,122051,,,school,,,,1-5,,,Government Primary School,,,primary,,,,,center,POINT (76.9451827 28.3335047)
way/1082525975,way/1082525975,,,,,,,,,,,,park,,park,,,,,,,,center,POINT (76.8573554 28.2879397)
way/1227687509,way/1227687509,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9491682 28.3671254)
way/1227687510,way/1227687510,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9505159 28.3670629)
way/1227687511,way/1227687511,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9505855 28.3655383)
way/1227687512,way/1227687512,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9483525 28.3674957)
way/1227687513,way/1227687513,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.9477894 28.3660978)
way/1254284063,way/1254284063,Gurugram,Gurugram,,122004,,"Adjacent to Sector 70A, Gul Farm Complex",school,,,admissions@ked.edu.in,0-12,,9591748899;9560111907,Kunskapsskolan International,Kunskapsskolan International,Keduventures Smart Services Private Limited (KSSPL),,,,https://ked.edu.in/international/,,center,POINT (77.0096659 28.3833692)
way/1299461620,way/1299461620,,,,,,,,,,,,park,,,,,,,,,,center,POINT (76.8158928 28.2492207)
node/1656306385,node/1656306385,,,,,,,school,,,,,,,"Govt. Primary Boys School, Sidhrawali",,,,,,,,,POINT (76.8324001 28.2662766)
node/1656306395,node/1656306395,,,,,,,school,,,,,,,"Govt. Primary Girls School, Sidhrawali",,,,,,,,,POINT (76.8338851 28.2669425)
node/1656306397,node/1656306397,,,,,,,school,,,,,,,"Govt. Senior Secondary School, Sidhrawali",,,,,,,,,POINT (76.8328043 28.2687959)
node/1656306398,node/1656306398,,,,,,,school,,,,,,,Suman Public School,,,,,,,,,POINT (76.8335477 28.2665063)
node/4351201299,node/4351201299,,,,122413,,"Bilaspur Tauru Road, Bilaspur",school,,,,,,,"Government High School, Bilaspur",,,,,,,,,POINT (76.8659642 28.2860264)
node/6991532456,node/6991532456,,Gurgaon,"Kasan Road, Next To Union Bank,Manesar, G",122001,Haryana,,hospital,,,,,,,Siyaram Hospital,,,,OpenGovernmentData,,,,,POINT (76.9334283 28.3547767)
node/7010591318,node/7010591318,,Gurgaon,"Auto Stand Kasan, Near Sector-08, Imt Manesar",122001,Haryana,,hospital,,,,,,,Rathore Imt Hospital,,,,OpenGovernmentData,,,,,POINT (76.9053349 28.3743344)
node/7622826315,node/7622826315,,Gurugram,"Sector 8, Imt Manesar",122051,Haryana,,hospital,,,,,,,Nidan Hospital and Trauma Centre,,,,Local Knowledge,,,,,POINT (76.8956487 28.3728929)
node/7622826362,node/7622826362,,Gurugram,"NH 48, Power Supply Colony, Manesar",122051,Haryana,,hospital,,,,,,,Prakash Hospital,,,,Local Knowledge,,,yes,,POINT (76.9377939 28.3561342)
