park_name,zone,area,latitude,longitude,source_file,sheet_name
"A Block Tikona Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"A Block Trungullar Park, Naraina Vihar",,,,,karol_bagh-mcd.xlsx,Sheet1
A-Block old seemapuri,,,,,parks_combined_cleaned.xlsx,Sheet1
A. Ajay Park at Najafgarh,,,,,dda_north-west.xlsx,Sheet1
A. Along with M.B. Road,,,,,dda_south-east.xlsx,Sheet1
A. CRPF Colony 'North Side),,,,,dda_north-west.xlsx,Sheet1
A. Chanchal Park,,,,,dda_north-west.xlsx,Sheet1
A. Near Adilabad Fort,,,,,dda_south-east.xlsx,Sheet1
A. Near Kaya Maya Temple,,,,,dda_south-east.xlsx,Sheet1
A. Near Majid moth Flats,,,,,dda_south-east.xlsx,Sheet1
A. Near swami ngr Petrol pump,,,,,dda_south-east.xlsx,Sheet1
A. Office Complex.,,,,,dda_south-east.xlsx,Sheet1
A. Water Treatment Park,,,,,dda_north-west.xlsx,Sheet1
A.Near Qutub club.,,,,,dda_south-east.xlsx,Sheet1
A.North side of Def. Col. Flyover and opp Side of slier Oak park,,,,,dda_south-east.xlsx,Sheet1
AI Green belt Khatte Wala,,,,,dda_north-west.xlsx,Sheet1
AMAR SINGH WAL BAGH,,,,,dda_south-east.xlsx,Sheet1
"Aatma Ram Lakshya Park-I, Reghar Pura",,,,,karol_bagh-mcd.xlsx,Sheet1
"Aatma Ram Lakshya Park-II, Reghar Pura",,,,,karol_bagh-mcd.xlsx,Sheet1
Adhirbad Chauk,,,,,dda_north-west.xlsx,Sheet1
Ajai Ahuja Park,,,,,parks_combined_cleaned.xlsx,Sheet1
Ajmal Khan Park (Ordinary Portion),,,,,karol_bagh-mcd.xlsx,Sheet1
"Ajmal Khan Park, Karol Bagh",,,,,karol_bagh-mcd.xlsx,Sheet1
"Akhara Wala Park, New Ranjeet Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
Al Geeen belt near Drain,,,,,dda_north-west.xlsx,Sheet1
Al Green belt (Tyagi Wala),,,,,dda_north-west.xlsx,Sheet1
Al Green belt near Pankha Road,,,,,dda_north-west.xlsx,Sheet1
All Parks below this line belongs to South Zone,,,,,parks_combined_cleaned.xlsx,Sheet1
"Ambedkar Park, Baljeet Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
"Andrew Ganj, Park",,,,,kidbai_nagar_east.xlsx,Sheet1
Arvendo park,,,,,kidbai_nagar_east.xlsx,Sheet1
Arvidndo park,,,,,kidbai_nagar_east.xlsx,Sheet1
Asstt. Director (Hort.)/Shah. South Zone,,,,,parks_combined_cleaned.xlsx,Sheet1
"B Block (NIB) Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"B Block Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"B Block Park, West Patel Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
B Office Complex.,,,,,dda_south-east.xlsx,Sheet1
B. Along with Shooting Range Road behind Air Force station,,,,,dda_south-east.xlsx,Sheet1
B. CRPF Colony (South Side),,,,,dda_north-west.xlsx,Sheet1
B. Jassa Singh Park,,,,,dda_north-west.xlsx,Sheet1
B. Near Gas Godam,,,,,dda_south-east.xlsx,Sheet1
B. Near Kaya Maya Temple,,,,,dda_south-east.xlsx,Sheet1
B. Near Metro Station H/Khas.,,,,,dda_south-east.xlsx,Sheet1
B. Near Wireless area,,,,,dda_south-east.xlsx,Sheet1
B. Shyam Vihar (Near Metro),,,,,dda_north-west.xlsx,Sheet1
B.Near S.P.V. Aptt,,,,,dda_south-east.xlsx,Sheet1
B.North side of Def. Col. Flyover and opp Side of slier Oak park,,,,,dda_south-east.xlsx,Sheet1
BEERA WALA BAGH,,,,,dda_south-east.xlsx,Sheet1
BVK B-Block Meera Bagh (R.C.C),,,,,parks_combined_cleaned.xlsx,Sheet1
BVK C/Hall Pashim Vihar,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK Cluster R.C.C Punjabi Bagh,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at A-Block JJ Colony Bawana,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at Ashok Vihar,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at C-Block Sultanpuri,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at E-Block Bawana,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at Goyal Diary Najafgarh,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at Haryana Power House,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at L-Block Mangol Puri,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at Mayapuri,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at P-Block Sultanpuri,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at Rakhi Market Jakhira,,,,,parks_combined_cleaned.xlsx,Sheet1
BVK at Y-Block Mangol Puri,,,,,parks_combined_cleaned.xlsx,Sheet1
Baba Ram Dev park Amrit Kaur Puri Tank Road Regarpura,,,,,karol_bagh-mcd.xlsx,Sheet1
"Balmiki Mandir Park, Naraina Village",,,,,karol_bagh-mcd.xlsx,Sheet1
"Batra Banqjet Hall Park, Naraina Indl. Area",,,,,karol_bagh-mcd.xlsx,Sheet1
Behind Near Nursery,,,,,netaji_nagar-ndmc.xlsx,Sheet1
"Bengali Park, C Block, Naraina Vihar",,,,,karol_bagh-mcd.xlsx,Sheet1
"Bhagat Singh Park, South Patel Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
"Bhai Parmanand Park, New Rajinder Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
"Big park A374, Guru Arjun Dev Park, New Ranjeet Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
Block B Near Psot Office,,,,,parks_combined_cleaned.xlsx,Sheet1
Block DG BARQIGNCD,,,,,parks_combined_cleaned.xlsx,Sheet1
Block M W C,,,,,netaji_nagar-ndmc.xlsx,Sheet1
Block-23Lodhi Colony,,,,,parks_combined_cleaned.xlsx,Sheet1
Block-G Lodhi Colony,,,,,parks_combined_cleaned.xlsx,Sheet1
"C Block Green Belt Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"C Block Hill Wala Park, Naraina Vihar",,,,,karol_bagh-mcd.xlsx,Sheet1
C Block Jhanda Park,,,,,netaji_nagar-ndmc.xlsx,Sheet1
"C Block Market Wala Park, Naraina Vihar",,,,,karol_bagh-mcd.xlsx,Sheet1
"C Block Mother Dairy wala Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"C Block Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"C Block Park, West Patel Nagar",,,,,karol_bagh-mcd.xlsx,Sheet1
"C Block Shiv Mandir Wala Park, Inder Puri",,,,,karol_bagh-mcd.xlsx,Sheet1
"C Block Store Wala Park, Naraina Vihar",,,,,karol_bagh-mcd.xlsx,Sheet1
C Near Begumpur village.,,,,,dda_south-east.xlsx,Sheet1
C Near Kalrishi Vihar,,,,,dda_south-east.xlsx,Sheet1
C. Near H/Khas Terminal.,,,,,dda_south-east.xlsx,Sheet1
C. Office Complex.,,,,,dda_south-east.xlsx,Sheet1
C. Seed bed park,,,,,dda_north-west.xlsx,Sheet1
C. Shiv Vihar (East Side),,,,,dda_north-west.xlsx,Sheet1
C.North side of Def. Col. Flyover and opp Side of slier Oak park,,,,,dda_south-east.xlsx,Sheet1
C/H at Shakti Nagar,,,,,parks_combined_cleaned.xlsx,Sheet1
C/Hall Madipur,,,,,parks_combined_cleaned.xlsx,Sheet1
C/Hall Mangol Puri,,,,,parks_combined_cleaned.xlsx,Sheet1
