id,@id,MCD ZONE,School ID,UDISE Code,UNIT_TYPE,Zone,addr:block,addr:block_number,addr:city,addr:city:ur,addr:country,addr:county,addr:district,addr:full,addr:hamlet,addr:housename,addr:housenumber,addr:neighbourhood,addr:place,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,alt_name,amenity,barrier,branch,brand,brand:wikidata,building,building:colour,building:levels,check_date,contact:email,contact:instagram,contact:mobile,contact:phone,contact:website,country,created_by,denomination,description,designation,district,ele,email,fax,fee,female,fixme,full_name,gnis:feature_id,grades,image,internet_access,is_in,isced:level,landuse,layer,level,loc_name,min_age,mobile,name,name:en,name:etymology:wikidata,name:hi,name:ru,name:ur,nohousenumber,not:brand:wikidata,note,office,opening_hours,operator,operator:type,operator:wikidata,phone,phone_1,polling_station,ref,religion,roof:shape,school:gender,shift,shop,short_name,source,start_date,survey:date,tourism,type,wall,website,wheelchair,wikidata,@relations,wikimedia_commons,wikipedia,@geometry,geometry
relation/2704295,relation/2704295,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy Cross School,,,,,,,,,,,,,,,,,,,,,,,,,,,,site,,,,,,,,center,POINT (76.9809125 28.6148333)
relation/2705594,relation/2705594,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don Bosco Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,site,,,,,,,,center,POINT (76.9811381 28.6153797)
relation/5269486,relation/5269486,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Lawrence School,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,center,POINT (77.2694608 28.6530675)
way/7891819,way/7891819,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School of Computional and Integrative Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1677984 28.5419137)
relation/8800378,relation/8800378,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarvodaya Bal Senior Secondary Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,center,POINT (77.1867383 28.5275922)
relation/17911321,relation/17911321,,,,,,,,,,,,,,,,,,,,,,,,,school,,Kalkaji,,,school,white;navy,5,,,,,+91-11-2622-7840;+91-11-2646-2889,,,,,,,,,,,,,,,,,,,,,,,,,,,Guru Harkrishan Public School,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,multipolygon,,,,,,,,center,POINT (77.2517768 28.5405669)
relation/18530696,relation/18530696,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Arya Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,center,POINT (77.0305402 28.6125837)
relation/19100559,relation/19100559,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,Info@amritapublicschool.com,,,,,,,,,,,0;1;2;3,,,,,3,+91 93112 95600;+91 93112 95601;+91 93112 95602;+91 93112 95603;+91 93112 95604,Amrita Public School,,,,,,,,,,,,private,,,,,,,,mixed,,,,,,,,site,,https://amritapublicschool.com,,,,,,center,POINT (77.2376956 28.4953977)
relation/19171271,relation/19171271,,,,,,,,Delhi Cantonment,,IN,,New Delhi,,,Air Force Golden Jubilee Institute,,,,110010,DL,Arjan Path,,,,school,,,,,,,,,,,,,,,,,,,,,afgjisp@gmail.com,,,,,,,,,,,1;2;3,,,,,6,,Air Force Golden Jubilee Institute,,,,,,yes,,,,"Mo-Fr,Sa[1,3] 08:00-13:45",Indian Air Force Educational and Cultural Society,public,,+91 11 2569 2819,,,,,,mixed,,,,,,,,multipolygon,,https://www.afgji.in/,designated,Q4697907,,,en:Air Force Golden Jubilee Institute,center,POINT (77.1481101 28.5804937)
relation/19443500,relation/19443500,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.D. Goenka Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,center,POINT (77.2964173 28.5372035)
way/34940753,way/34940753,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1382348 28.5385075)
way/40837967,way/40837967,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mata Sukhdevi Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1423401 28.7750484)
way/43316275,way/43316275,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1571419 28.5623892)
way/43316796,way/43316796,,,,,,,,,,,,,,,,,,Malviya Nagar,110017,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Govt Boys Senior Secondary School,,,,,,,,,,,,,,+91-11-2668-2015,,,1923010,,,,,,,,,,,,,,,,,,,center,POINT (77.2125141 28.5342679)
way/43361906,way/43361906,,,,,,,,,,IN,,,,,,,,,110021,DL,Doctor Jose Protasio Rizal Marg,,Chanakyapuri,,school,,,,,,,,,,,,,,,,,,,,,thebritishschool@british-school.org,,,,,,,,,,,0;1;2;3,,,,,3,+91 11 4066 4166,The British School,,,,,,yes,,,,Mo-Fr 07:55-15:10,The British School Society,private,,,,,,,,mixed,,,,,1963-07,,,,,https://www.british-school.org/,designated,Q7720194,,,"en:The British School, New Delhi",center,POINT (77.1802865 28.5974914)
way/44091823,way/44091823,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Mother's International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2018505 28.5403284)
way/44091868,way/44091868,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mother's International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2020201 28.5403386)
way/44092360,way/44092360,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirambika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.203736 28.5399635)
way/47026629,way/47026629,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Mathews Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1067938 28.6740659)
way/47107935,way/47107935,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indraprasta School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1028588 28.6735906)
way/58472992,way/58472992,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaadi mandap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0420859 28.648339)
way/60882617,way/60882617,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0379536 28.795208)
way/76734524,way/76734524,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarvodaya Kanya Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2973919 28.6312165)
way/76849246,way/76849246,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3027362 28.6185682)
way/76849392,way/76849392,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3033654 28.6173882)
way/76849406,way/76849406,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3116044 28.6093408)
way/76965008,way/76965008,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3149253 28.6180931)
way/76965009,way/76965009,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3086562 28.617946)
way/76965030,way/76965030,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3134856 28.6146387)
way/76965083,way/76965083,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3157891 28.6153272)
way/76977269,way/76977269,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3075816 28.6228233)
way/76977318,way/76977318,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3185833 28.6191174)
way/76977577,way/76977577,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3171186 28.6246317)
